Year,Code_italy,IT_alcohol_abuse,Code_states,US_alcohol_abuse
1990,ITA,1.784691392,USA,5.328749705
1991,ITA,1.811793784,USA,5.325354024
1992,ITA,1.841858147,USA,5.321771924
1993,ITA,1.877022811,USA,5.318442978
1994,ITA,1.907319501,USA,5.312848008
1995,ITA,1.948826044,USA,5.309382745
1996,ITA,1.960410007,USA,5.302109903
1997,ITA,1.974997117,USA,5.300595139
1998,ITA,1.986872757,USA,5.306224544
1999,ITA,2.001702032,USA,5.317384326
2000,ITA,2.018339028,USA,5.33563594
2001,ITA,2.009427138,USA,5.331929733
2002,ITA,2.002339362,USA,5.328852648
2003,ITA,1.998845816,USA,5.326712546
2004,ITA,1.998180071,USA,5.322967629
2005,ITA,2.000147398,USA,5.320124108
2006,ITA,1.968936072,USA,5.320790781
2007,ITA,1.939277761,USA,5.321174962
2008,ITA,1.911807884,USA,5.321343736
2009,ITA,1.883557359,USA,5.322580984
2010,ITA,1.855605383,USA,5.325528953
2011,ITA,1.82067675,USA,5.349283975
2012,ITA,1.792858297,USA,5.374247713
2013,ITA,1.762811475,USA,5.39812767
2014,ITA,1.739173588,USA,5.421862009
2015,ITA,1.709719533,USA,5.444135737
2016,ITA,1.683797108,USA,5.468078211
